"PctKids2Par","PctIlleg","PctFam2Par","racePctWhite","PctYoungKids2Par","PctTeen2Par","racepctblack","pctWInvInc","pctWPubAsst","FemalePctDiv","state","communityname","ViolentCrimesPerPop","community","county","countyname","commentary","Latitude","Longitude","Latitude_scaled","Longitude_scaled"
0.57,0.32,0.59,0.56,0.69,0.6,0.14,0.38,0.42,0.61,6,"Riverside",0.68,62000,65,"Riverside","",33.95335,-117.396156,0.159642952306118,0.78387565508626
0.65,0.13,0.62,0.76,0.71,0.54,0.05,0.52,0.31,0.69,6,"Concord",0.22,16000,13,"ContraCosta","",37.977978,-122.031072,0.648872346612104,0.247017254489973
0.47,0.31,0.45,0.53,0.47,0.65,0.19,0.37,0.91,0.58,6,"Banning",0.37,3820,65,"Riverside","",33.925572,-116.876411,0.156266288893989,0.844077278895174
0.82,0.06,0.8,0.91,0.89,0.73,0.01,0.76,0.09,0.54,6,"ManhattanBeach",0.14,45400,37,"LosAngeles","",33.884736,-118.410908,0.151302309230308,0.66633778908785
0.73,0.09,0.69,0.88,0.82,0.53,0.02,0.56,0.22,0.6,6,"Petaluma",0.21,56784,97,"Sonoma","",38.232417,-122.636653,0.67980167420656,0.176873319391365
0.79,0.04,0.76,0.91,0.76,0.67,0.02,0.78,0.16,0.44,6,"SealBeach",0.1,70686,59,"Orange","",33.741406,-118.104786,0.133879270607638,0.701795641464752
0.68,0.13,0.67,0.89,0.57,0.72,0.01,0.51,0.43,0.49,6,"Yucaipa",0.15,87042,71,"SanBernardino","",34.033625,-117.043086,0.169401093835699,0.824771454599894
0.66,0.12,0.62,0.84,0.76,0.55,0.05,0.44,0.29,0.68,6,"RohnertPark",0.4,62546,97,"Sonoma","",38.339636,-122.701097,0.692835099017026,0.169408825370755
0.46,0.16,0.41,0.82,0.53,0.33,0.03,0.46,0.77,0.82,6,"Eureka",0.45,23042,91,"Humboldt","",40.802072,-124.163672,0.992166136021503,0
0.61,0.14,0.55,0.83,0.75,0.5,0.04,0.62,0.22,0.43,6,"SanLuisObispo",0.24,68154,79,"SanLuisObispo","",35.282753,-120.659617,0.321243732422581,0.405871727319639
0.59,0.19,0.59,0.6,0.75,0.56,0.05,0.58,0.27,0.61,6,"SantaClara",0.2,69084,85,"SantaClara","",37.354108,-121.955236,0.573035389202456,0.255801274236527
0.38,0.4,0.36,0.7,0.41,0.36,0.1,0.32,0.9,0.89,6,"Marysville",0.51,46170,115,"Yuba","",39.145725,-121.591356,0.790822399514542,0.297949186908294
0.33,0.97,0.28,0,0.42,0.36,1,0.16,0.55,0.83,6,"Inglewood",0.86,36546,37,"LosAngeles","",33.961681,-118.353131,0.160655659588372,0.673030050136649
0.59,0.29,0.52,0.74,0.78,0.37,0.09,0.56,0.22,0.81,6,"SantaMonica",0.68,70000,37,"LosAngeles","",34.019453,-118.491192,0.167678360958001,0.657038561262908
0.56,0.16,0.61,0.45,0.76,0.57,0.12,0.44,0.57,0.52,6,"LomaLinda",0.14,42370,71,"SanBernardino","",34.048347,-117.261153,0.171190684114098,0.79951293840611
0.53,0.37,0.55,0.31,0.68,0.69,0.01,0.36,0.59,0.5,6,"Watsonville",0.62,83668,87,"SantaCruz","",36.910231,-121.756894,0.519078184746205,0.278775060361468
0.69,0.14,0.79,0.72,0.84,0.73,0.03,0.53,0.24,0.39,6,"LaMirada",0.27,40032,37,"LosAngeles","",33.917236,-118.012008,0.155252973817183,0.712542038743694
0.53,0.19,0.51,0.75,0.67,0.43,0.04,0.53,0.28,0.84,6,"Campbell",0.16,10345,85,"SantaClara","",37.287164,-121.949958,0.564897749506956,0.256412620512997
0.92,0.03,0.92,0.88,1,0.85,0.02,0.95,0.1,0.29,6,"Orinda",0.02,54232,13,"ContraCosta","",37.877147,-122.179689,0.636615440121053,0.229803073063294
0.82,0.06,0.8,0.76,0.86,0.79,0.19,0.6,0.3,0.46,6,"Folsom",0.08,24638,67,"Sacramento","",38.677958,-121.176058,0.73396115268966,0.346052803036578
0.65,0.21,0.6,0.75,0.65,0.61,0.03,0.34,0.53,0.66,6,"Clovis",0.17,14218,19,"Fresno","",36.825228,-119.702919,0.508745312688416,0.516685247593505
0.88,0.07,0.84,0.89,0.9,0.71,0.01,0.83,0.1,0.4,6,"Lafayette",0.03,39122,13,"ContraCosta","",37.885758,-122.118019,0.63766218389821,0.236946257009836
0.7,0.17,0.75,0.72,0.84,0.56,0.07,0.53,0.27,0.51,6,"SanDimas",0.25,66070,37,"LosAngeles","",34.106675,-117.806725,0.17828097223789,0.736319795028728
0.52,0.18,0.48,0.89,0.5,0.57,0.02,0.37,0.72,0.79,6,"Redding",0.26,59920,89,"Shasta","",40.586539,-122.391675,0.965966179393723,0.205248913956891
0.58,0.33,0.68,0.33,0.64,0.6,0.05,0.31,0.69,0.43,6,"Artesia",0.68,2896,37,"LosAngeles","",33.865847,-118.083122,0.149006182972417,0.70430496426381
0.73,0.11,0.72,0.59,0.86,0.65,0.03,0.61,0.19,0.54,6,"Torrance",0.26,80000,37,"LosAngeles","",33.83585,-118.340628,0.145359780338186,0.674478262053037
0.59,0.23,0.57,0.84,0.55,0.52,0.01,0.41,0.6,0.63,6,"Lodi",0.49,42202,77,"SanJoaquin","",38.134147,-121.272219,0.667856080084955,0.334914555728591
0.74,0.14,0.73,0.29,0.83,0.64,0.37,0.29,0.32,0.46,6,"Marina",0.27,45778,53,"Monterey","",36.684403,-121.802172,0.491626779136212,0.273530547912441
0.6,0.3,0.6,0.62,0.61,0.52,0.03,0.41,0.68,0.61,6,"Visalia",0.32,82954,107,"Tulare","",36.330228,-119.292058,0.448573652057554,0.564274929764097
0.43,0.75,0.51,0.42,0.53,0.52,0.02,0.15,0.75,0.49,6,"ElMonte",0.54,22230,37,"LosAngeles","",34.068622,-118.027567,0.173655291021756,0.710739852931722
0.61,0.12,0.59,0.86,0.68,0.56,0.01,0.51,0.35,0.68,6,"Napa",0.25,50258,55,"Napa","",38.297539,-122.286864,0.687717833567375,0.217389083449694
0.49,0.42,0.47,0.54,0.57,0.5,0.12,0.32,0.44,0.78,6,"Bellflower",0.7,4982,37,"LosAngeles","",33.881683,-118.117011,0.150931189876963,0.700379630053263
0.54,0.41,0.56,0.37,0.64,0.6,0.34,0.33,0.58,0.59,6,"Pittsburg",0.36,57456,13,"ContraCosta","",38.027975,-121.884681,0.654949927453642,0.263973600219149
0.43,0.6,0.42,0.36,0.47,0.43,0.27,0.38,0.55,0.68,6,"LongBeach",0.67,43000,37,"LosAngeles","",33.768322,-118.195617,0.137151150239033,0.69127476354926
0.66,0.18,0.72,0.63,0.78,0.79,0,0.33,0.6,0.35,6,"Fillmore",0.29,24092,111,"Ventura","",34.399164,-118.918153,0.213835616371748,0.607584029707861
0.74,0.08,0.65,0.87,0.83,0.69,0.03,0.67,0.15,0.64,6,"BeverlyHills",0.45,6308,37,"LosAngeles","",34.073619,-118.400356,0.174262720896852,0.667560018324172
0.5,0.46,0.55,0.2,0.46,0.64,0,0.23,0.9,0.48,6,"Sanger",0.31,67056,19,"Fresno","",36.708006,-119.555964,0.494495934097566,0.533706920965714
0.41,0.2,0.38,0.82,0.42,0.44,0.02,0.4,0.86,0.91,6,"Ukiah",0.18,81134,45,"Mendocino","",39.150172,-123.207783,0.791362971988937,0.110719814488026
0.64,0.28,0.62,0.78,0.65,0.61,0.05,0.41,0.43,0.62,6,"Antioch",0.3,2252,13,"ContraCosta","",38.004922,-121.805789,0.652147629892989,0.273111593861286
0.59,0.29,0.59,0.2,0.56,0.67,0.02,0.41,0.56,0.47,6,"SanGabriel",0.34,67042,37,"LosAngeles","",34.096111,-118.105833,0.17699682390879,0.701674368340185
0.93,0.08,0.95,0.79,0.98,0.91,0.01,0.86,0.05,0.24,6,"LaCañadaFlintridge",0.83,39003,37,"LosAngeles","",34.206817,-118.200028,0.190454124639699,0.690763841149581
0.69,0.31,0.73,0.5,0.81,0.75,0.19,0.34,0.34,0.5,6,"Chino",0.39,13210,71,"SanBernardino","",34.012236,-117.688944,0.166801070301894,0.749962268652981
0.73,0.26,0.75,0.5,0.77,0.67,0.27,0.29,0.37,0.47,6,"MorenoValley",0.5,49270,65,"Riverside","",33.942467,-117.229672,0.158320026684612,0.803159356013068
0.89,0.05,0.93,0.48,0.94,0.71,0,0.92,0.03,0.16,6,"SanMarino",0.08,68224,37,"LosAngeles","",34.121397,-118.106458,0.180070562516289,0.701601975118739
0.52,0.24,0.52,0.56,0.43,0.59,0.05,0.29,0.85,0.57,6,"LosBanos",0.68,44028,47,"Merced","",37.058278,-120.849914,0.537074616749067,0.383829786741153
0.58,0.4,0.59,0.68,0.8,0.58,0.24,0.78,0.21,0.62,6,"MenloPark",0.25,46870,81,"SanMateo","",37.453828,-122.182186,0.585157243744092,0.229513847664971
0.6,0.28,0.64,0.62,0.68,0.55,0.15,0.5,0.37,0.58,6,"Oceanside",0.42,53322,73,"SanDiego","",33.195869,-117.379483,0.0675643873236423,0.785806874576138
0.4,0.45,0.37,0.39,0.45,0.37,0.3,0.41,0.79,0.78,6,"Sacramento",0.53,64000,67,"Sacramento","",38.581572,-121.4944,0.722244575555184,0.30917951839396
0.64,0.2,0.66,0.41,0.76,0.65,0.09,0.55,0.27,0.5,6,"SouthSanFrancisco",0.16,73262,81,"SanMateo","",37.654656,-122.40775,0.60956967659495,0.203386960301296
0.49,0.5,0.55,0.06,0.7,0.54,0.02,0.18,0.91,0.45,6,"Commerce",0.999999,14974,37,"LosAngeles","",34.000569,-118.159792,0.165382842494661,0.695424343002558
0.73,0.08,0.71,0.67,0.86,0.66,0.02,0.69,0.1,0.4,6,"Millbrae",0.12,47486,81,"SanMateo","",37.598547,-122.387194,0.602749127693259,0.205767944397374
0.58,0.23,0.62,0,0.68,0.63,0.01,0.47,0.67,0.34,6,"MontereyPark",0.37,48914,37,"LosAngeles","",34.062511,-118.122847,0.172912444520513,0.699703651108688
0.82,0.09,0.8,0.86,0.79,0.68,0.03,0.44,0.16,0.44,6,"Temecula",0.22,78120,65,"Riverside","",33.493639,-117.148364,0.103760984063141,0.812577192892028
0.36,0.64,0.36,0.4,0.36,0.39,0.31,0.28,0.89,0.77,6,"SanBernardino",0.999999,65000,71,"SanBernardino","",34.108344,-117.289764,0.17848385405929,0.796198950472032
0.6,0.17,0.55,0.84,0.66,0.51,0.03,0.57,0.35,0.75,6,"SantaRosa",0.22,70098,97,"Sonoma","",38.440467,-122.714431,0.705092005508077,0.167864359427132
0.46,0.45,0.6,0.37,0.61,0.71,0.01,0.21,0.59,0.48,6,"PicoRivera",0.56,56924,37,"LosAngeles","",33.983069,-118.096736,0.163255561563267,0.702728066156979
0.71,0.14,0.75,0.74,0.79,0.71,0.03,0.57,0.25,0.47,6,"MorganHill",0.2,49278,85,"SantaClara","",37.1305,-121.654389,0.545853844373475,0.290648127824422
0.66,0.14,0.69,0.68,0.83,0.61,0.04,0.57,0.2,0.56,6,"Cypress",0.13,17750,59,"Orange","",37.320531,-121.962242,0.568953805669119,0.254989775181403
0.44,0.44,0.56,0.34,0.6,0.4,0.04,0.18,0.85,0.61,6,"SantaFeSprings",0.86,69154,37,"LosAngeles","",33.947236,-118.085344,0.158899741128144,0.704047591882924
0.53,0.31,0.66,0,0.73,0.69,0.51,0.34,0.44,0.5,6,"Carson",0.52,11530,37,"LosAngeles","",33.831406,-118.282017,0.144819572540523,0.681267124616533
0.72,0.11,0.7,0.8,0.88,0.58,0.06,0.6,0.17,0.64,6,"Monterey",0.36,48872,53,"Monterey","",36.600239,-121.894675,0.481395895004221,0.262816003650934
0.76,0.1,0.77,0.8,0.76,0.61,0.03,0.68,0.14,0.54,6,"Belmont",0.07,5108,81,"SanMateo","",37.520214,-122.2758,0.593227053567608,0.218670617213023
0.43,0.76,0.44,0.28,0.53,0.46,0.27,0.36,0.52,0.61,6,"LosAngeles",0.999999,44000,37,"LosAngeles","",34.052233,-118.243686,0.171663062039778,0.685706971930542
0.68,0.15,0.72,0.72,0.85,0.66,0.07,0.54,0.26,0.49,6,"Lakewood",0.41,39892,37,"LosAngeles","",33.853628,-118.133956,0.147520854646662,0.698416905033414
0.83,0.09,0.84,0.45,0.91,0.79,0.11,0.58,0.14,0.39,6,"DiamondBar",0.19,19192,37,"LosAngeles","",34.028622,-117.810336,0.168792934607141,0.7359015359525
0.48,0.56,0.49,0.54,0.55,0.45,0.2,0.41,0.4,0.75,6,"Monrovia",0.39,48648,37,"LosAngeles","",34.144428,-118.001947,0.182870185780913,0.713707395865246
0.73,0.07,0.7,0.77,0.92,0.59,0.06,0.87,0.14,0.63,6,"PaloAlto",0.1,55282,85,"SantaClara","",37.441883,-122.143019,0.583705222559777,0.234050528151987
0.66,0.19,0.63,0.68,0.7,0.64,0.1,0.48,0.32,0.6,6,"Upland",0.41,81344,71,"SanBernardino","",34.097511,-117.648389,0.177167006383301,0.754659720006186
0.45,0.27,0.41,0.87,0.32,0.48,0.01,0.29,0.99,0.85,6,"RedBluff",0.4,59892,103,"Tehama","",40.178489,-122.235831,0.91636406601913,0.223300192681798
0.89,0.06,0.9,0.64,0.92,0.83,0.04,0.84,0.07,0.29,6,"RanchoPalosVerdes",0.13,59514,37,"LosAngeles","",33.744461,-118.387017,0.134250633078805,0.669105063413566
0.51,0.36,0.47,0.42,0.56,0.53,0.13,0.33,0.99,0.7,6,"Merced",0.23,46898,47,"Merced","",37.302164,-120.482967,0.566721133162437,0.426332947429201
0.56,0.32,0.58,0.33,0.55,0.69,0,0.27,1,0.39,6,"Dinuba",0.24,19318,107,"Tulare","",36.543283,-119.387067,0.47447238570545,0.55327011764188
0.51,0.35,0.54,0.59,0.63,0.58,0.04,0.21,0.39,0.68,6,"Stanton",0.41,73962,59,"Orange","",33.802517,-117.993117,0.141307857178978,0.714730167297839
0.77,0.1,0.78,0.8,0.83,0.74,0.02,0.58,0.15,0.5,6,"Brea",0.15,8100,59,"Orange","",33.916681,-117.900061,0.15518550862193,0.72550876508168
0.94,0.01,0.93,0.75,0.93,0.9,0.01,0.94,0.07,0.23,6,"Saratoga",0.07,70280,85,"SantaClara","",37.263833,-122.023014,0.562061658569222,0.247950605815434
0.77,0.07,0.74,0.57,0.85,0.74,0.02,0.7,0.16,0.44,6,"Arcadia",0.16,2462,37,"LosAngeles","",34.139728,-118.035344,0.182298858902196,0.709839049598623
0.59,0.28,0.55,0.81,0.76,0.54,0.03,0.58,0.15,0.78,6,"RedondoBeach",0.25,60018,37,"LosAngeles","",33.849183,-118.388408,0.146980525290088,0.668943945059916
0.47,1,0.51,0.11,0.44,0.5,0.02,0.07,0.74,0.49,6,"Bell",0.36,4870,37,"LosAngeles","",33.977514,-118.187017,0.162580301816187,0.69227089427636
0.44,0.19,0.37,0.64,0.53,0.36,0.05,0.3,0.7,0.86,6,"YubaCity",0.27,86972,101,"Sutter","",39.140447,-121.616911,0.790180811585634,0.294989172869801
0.49,0.27,0.45,0.81,0.52,0.4,0.06,0.37,0.62,0.85,6,"ElCajon",0.37,21712,73,"SanDiego","",32.794772,-116.962528,0.0188074730528208,0.834102419613118
0.46,0.86,0.49,0,0.51,0.53,0.02,0.07,0.67,0.47,6,"HuntingtonPark",0.62,36056,37,"LosAngeles","",33.981681,-118.225072,0.16308683779568,0.687863015808942
0.82,0.04,0.79,0.61,0.92,0.69,0.02,0.82,0.11,0.49,6,"Cupertino",0.14,17610,85,"SantaClara","",37.322997,-122.032183,0.56925356994208,0.246888568299529
0.39,0.45,0.4,0.1,0.45,0.36,0.16,0.19,0.99,0.65,6,"NationalCity",0.61,50398,73,"SanDiego","",32.678108,-117.099197,0.00462592433395441,0.818272164922182
0.46,0.74,0.51,0.05,0.59,0.55,0.01,0.03,0.76,0.49,6,"BellGardens",0.54,4996,37,"LosAngeles","",33.965292,-118.151458,0.161094608813701,0.69638966317461
0.48,0.49,0.49,0.36,0.55,0.56,0.17,0.19,0.59,0.69,6,"Colton",0.45,14890,71,"SanBernardino","",34.073903,-117.313656,0.174297243627396,0.793431560317164
0.73,0.07,0.69,0.94,0.84,0.69,0.01,0.69,0.08,0.69,6,"NewportBeach",0.16,51182,59,"Orange","",33.618911,-117.928947,0.118988911882432,0.722162924130167
0.55,0.18,0.55,0.7,0.71,0.59,0.08,0.42,0.34,0.69,6,"Covina",0.28,16742,37,"LosAngeles","",34.090008,-117.890339,0.17625494987883,0.72663485611992
0.59,0.12,0.53,0.88,0.75,0.52,0.03,0.65,0.19,0.84,6,"PacificGrove",0.23,54848,53,"Monterey","",36.617736,-121.916622,0.483522811258883,0.260273901201206
0.46,0.54,0.48,0.4,0.7,0.55,0.16,0.31,0.47,0.76,6,"Lawndale",0.82,40886,37,"LosAngeles","",33.887236,-118.352575,0.151606206506222,0.673094451146448
0.2,1,0.25,0,0.27,0.36,1,0.03,1,0.69,6,"Compton",0.9,15044,37,"LosAngeles","",33.89585,-118.220072,0.152653314960109,0.688442161580512
0.55,0.29,0.58,0.58,0.63,0.58,0.07,0.42,0.32,0.6,6,"Downey",0.21,19766,37,"LosAngeles","",33.940014,-118.132569,0.158021842677485,0.698577560070447
0.9,0.04,0.87,0.88,0.94,0.74,0.02,0.84,0.06,0.36,6,"Danville",0.01,17988,13,"ContraCosta","",37.822578,-122.000839,0.629982091941325,0.250519117312347
0.78,0.53,0.78,0.66,0.82,0.72,0.22,0.57,0.19,0.6,6,"Dublin",0.1,20018,1,"Alameda","",37.702153,-121.935792,0.615343360160575,0.258053456313007
0.64,0.29,0.69,0.41,0.8,0.68,0.17,0.38,0.45,0.54,6,"Duarte",0.33,19990,37,"LosAngeles","",34.13945,-117.977286,0.182265065525114,0.716563858639782
0.49,0.28,0.45,0.79,0.62,0.52,0.03,0.46,0.56,0.83,6,"GroverBeach",0.19,31393,79,"SanLuisObispo","GroverBeach",35.121642,-120.621283,0.301659254814705,0.410311922121109
0.46,0.45,0.44,0.47,0.41,0.48,0.02,0.3,1,0.64,6,"Porterville",0.24,58240,107,"Tulare","",36.065231,-119.016767,0.41636090548746,0.596161653484343
0.56,0.38,0.55,0.09,0.6,0.51,0.04,0.42,0.56,0.47,6,"Alhambra",0.22,884,37,"LosAngeles","",34.095286,-118.127014,0.176896537807739,0.699220991022661
0.59,0.22,0.63,0.56,0.65,0.69,0.05,0.38,0.35,0.57,6,"BuenaPark",0.24,8786,59,"Orange","",33.867514,-117.998117,0.149208821675996,0.71415102152627
0.76,0.09,0.73,0.91,0.83,0.5,0.01,0.55,0.29,0.56,6,"Rocklin",0.07,62364,61,"Placer","",38.790733,-121.235783,0.747669958806117,0.339134906795176
0.61,0.22,0.61,0.74,0.71,0.58,0.02,0.36,0.66,0.56,6,"Turlock",0.35,80812,99,"Stanislaus","",37.494658,-120.846594,0.590120494054311,0.384214339533476
0.64,0.23,0.63,0.59,0.61,0.54,0.18,0.36,0.66,0.56,6,"Atwater",0.29,3162,47,"Merced","",37.347717,-120.609083,0.572258506206312,0.411725037803741
0.72,0.09,0.7,0.88,0.86,0.5,0.01,0.56,0.11,0.59,6,"SanClemente",0.13,65084,59,"Orange","",33.426972,-117.611992,0.0956570161858117,0.75887555373575
0.37,0.6,0.3,0.23,0.29,0.24,0.42,0.24,1,0.84,6,"SanPablo",0.999999,68294,13,"ContraCosta","",37.962147,-122.345525,0.64694794750211,0.210594429428483
0.68,0.17,0.73,0.52,0.75,0.74,0.08,0.5,0.33,0.49,6,"Newark",0.33,50916,1,"Alameda","",37.529658,-122.040239,0.594375055917098,0.245955448632377
0.54,0.4,0.56,0.31,0.58,0.55,0.06,0.3,0.57,0.62,6,"Salinas",0.5,64224,53,"Monterey","",36.677736,-121.6555,0.490816345880806,0.290519441633979
0.94,0.01,0.94,0.84,0.87,0.79,0.01,1,0.12,0.3,6,"LosAltos",0.04,43280,85,"SantaClara","",33.796331,-118.118119,0.140555893759457,0.700251291350285
0.7,0.11,0.64,0.69,0.8,0.57,0.06,0.72,0.14,0.37,6,"Davis",0.06,18100,113,"Yolo","",38.544906,-121.740517,0.717787496547726,0.280671994421669
0.46,0.44,0.48,0.48,0.43,0.51,0.12,0.22,1,0.62,6,"Tulare",0.36,80644,107,"Tulare","",36.207728,-119.347339,0.433682685537796,0.557871778284465
0.59,0.08,0.57,0.96,0.62,0.68,0,0.59,0.56,0.55,6,"Paradise",0.1,55520,7,"Butte","",39.752079,-121.621971,0.86453013105023,0.294403077348972
0.83,0.05,0.8,0.86,0.85,0.7,0.03,0.67,0.12,0.48,6,"Pleasanton",0.06,57792,1,"Alameda","",37.662431,-121.874678,0.61051479712304,0.265132239249751
0.55,0.28,0.59,0.6,0.67,0.54,0.02,0.46,0.3,0.56,6,"Whittier",0.19,85292,37,"LosAngeles","",33.979178,-118.032844,0.162782575843035,0.710128622484408
0.6,0.29,0.64,0.39,0.75,0.62,0.17,0.4,0.37,0.55,6,"WestCovina",0.26,84200,37,"LosAngeles","",34.068622,-117.938953,0.173655291021756,0.721003937612101
0.68,0.14,0.65,0.88,0.72,0.55,0.02,0.54,0.34,0.61,6,"Roseville",0.22,62938,61,"Placer","",38.752122,-121.288006,0.742976447717999,0.333085960869437
0.87,0.05,0.85,0.86,0.89,0.8,0.02,0.67,0.07,0.4,6,"MissionViejo",0.09,48256,59,"Orange","",33.600022,-117.671994,0.116692785624541,0.751925572818604
0.51,0.3,0.52,0.42,0.59,0.44,0.19,0.4,0.48,0.64,6,"Hayward",0.46,33000,1,"Alameda","",37.668819,-122.080797,0.611291315442455,0.24125764979171
0.6,0.26,0.56,0.75,0.7,0.54,0.06,0.65,0.24,0.71,6,"SanRafael",0.23,68364,41,"Marin","",37.973536,-122.531086,0.648332381932262,0.189101055724827
0.67,0.19,0.69,0.64,0.79,0.66,0.1,0.53,0.24,0.56,6,"Pacifica",0.26,54806,81,"SanMateo","",37.613825,-122.486919,0.604606304725821,0.194216881983412
0.45,0.26,0.49,0.5,0.48,0.46,0.2,0.26,0.62,0.7,6,"Barstow",0.43,4030,71,"SanBernardino","",34.895797,-117.017283,0.274205782703237,0.827760194268657
0.72,0.1,0.68,0.89,0.72,0.65,0.01,0.76,0.12,0.66,6,"LosGatos",0.11,44112,85,"SantaClara","",37.22134,-121.979637,0.556896255791066,0.252974927042112
0.89,0.08,0.93,0.21,0.95,0.92,0.13,0.58,0.18,0.18,6,"Walnut",0.2,83332,37,"LosAngeles","",34.020289,-117.865339,0.167779984207066,0.729530584977769
0.78,0.04,0.74,0.79,0.85,0.58,0.13,0.75,0.18,0.57,6,"Coronado",0.14,16378,73,"SanDiego","",32.685886,-117.183089,0.00557140953877654,0.808555025508476
0.54,0.28,0.49,0.85,0.58,0.44,0.07,0.41,0.4,0.82,6,"WestHollywood",0.999999,84410,37,"LosAngeles","",34.090008,-118.361744,0.17625494987883,0.672032413630543
0.67,0.21,0.71,0.14,0.79,0.71,0.17,0.43,0.47,0.43,6,"UnionCity",0.23,81204,1,"Alameda","",37.593392,-122.043831,0.602122491510326,0.245539390310081
0.42,0.84,0.47,0,0.54,0.55,0.46,0.07,0.82,0.49,6,"Lynwood",0.999999,44574,37,"LosAngeles","",33.930292,-118.211461,0.156840046950913,0.689439566428309
0.54,0.15,0.48,0.86,0.69,0.4,0.06,0.56,0.3,0.75,6,"LaMesa",0.2,40004,73,"SanDiego","",32.767828,-117.023083,0.015532189771936,0.827088385173636
0.83,0.03,0.86,0.08,0.89,0.83,0.25,0.59,0.21,0.37,6,"Hercules",0.13,33308,13,"ContraCosta","",38.017144,-122.288581,0.653633322895475,0.217190204791737
0.5,0.47,0.54,0.3,0.59,0.61,0.08,0.2,0.55,0.59,6,"Indio",0.39,36448,65,"Riverside","",33.720578,-116.215561,0.131347441622549,0.920622975523562
0.6,0.19,0.54,0.55,0.82,0.33,0.12,0.72,0.17,0.66,6,"Albany",0.25,674,1,"Alameda","",37.886869,-122.297747,0.637797235847625,0.216128514763295
0.74,0.13,0.75,0.83,0.81,0.68,0.02,0.52,0.25,0.49,6,"Glendora",0.12,30014,37,"LosAngeles","",34.136119,-117.865339,0.181860152794688,0.729530584977769
0.64,0.19,0.63,0.57,0.78,0.6,0.07,0.65,0.21,0.64,6,"Sunnyvale",0.1,77000,85,"SantaClara","",37.368831,-122.03635,0.574825101039766,0.246405908213504
0.72,0.12,0.71,0.84,0.72,0.64,0.03,0.58,0.21,0.56,6,"Livermore",0.13,41992,1,"Alameda","",37.681875,-121.768008,0.612878388576185,0.277487735140423
0.43,0.21,0.36,0.88,0.47,0.17,0.02,0.49,0.42,0.5,6,"Arcata",0.16,2476,23,"Humboldt","",40.866517,-124.082839,1,0.00936281803066094
0.8,0.05,0.78,0.87,0.85,0.63,0.02,0.76,0.1,0.51,6,"SanCarlos",0.08,65070,81,"SanMateo","",37.507158,-122.260522,0.591639980433877,0.220440255032633
0.59,0.27,0.6,0.78,0.65,0.56,0.03,0.47,0.36,0.66,6,"Escondido",0.26,22804,73,"SanDiego","",33.119208,-117.086422,0.058245559696122,0.819751882368544
0.38,0.73,0.34,0.12,0.37,0.35,0.55,0.24,0.45,0.76,6,"Hawthorne",0.999999,32548,37,"LosAngeles","",33.916403,-118.352575,0.155151715244849,0.673094451146448
0.57,0.19,0.6,0.51,0.67,0.58,0.09,0.41,0.49,0.63,6,"ChulaVista",0.3,13392,73,"SanDiego","",32.640053,-117.084197,0,0.820009602236892
0.62,0.14,0.6,0.87,0.78,0.5,0.02,0.59,0.12,0.69,6,"PalmDesert",0.31,55184,65,"Riverside","",33.722244,-116.374456,0.131549958767218,0.902218302048844
0.58,0.32,0.63,0.43,0.7,0.62,0.09,0.48,0.43,0.56,6,"SanJose",0.27,68000,85,"SantaClara","",37.339386,-121.894956,0.571245798924057,0.262783455658574
